CO2,seconds
481,0
481,0.99
473,1.98
464,2.97
460,3.96
464,4.95
460,5.94
446,6.93
446,7.92
444,8.91
446,9.9
444,10.89
451,11.88
444,12.87
446,13.86
451,14.85
456,15.84
460,16.83
470,17.82
470,18.81
464,19.8
464,20.79
464,21.78
451,22.77
451,23.76
460,24.75
460,25.74
460,26.73
456,27.72
464,28.71
464,29.7
470,30.69
473,31.68
481,32.67
481,33.66
481,34.65
481,35.64
483,36.63
487,37.62
493,38.61
498,39.6
503,40.59
498,41.58
498,42.57
503,43.56
498,44.55
498,45.54
498,46.53
498,47.52
503,48.51
498,49.5
503,50.49
498,51.48
503,52.47
498,53.46
503,54.45
503,55.44
508,56.43
520,57.42
527,58.41
556,59.4
589,60.39
589,61.38
581,62.37
589,63.36
589,64.35
589,65.34
581,66.33
553,67.32
537,68.31
531,69.3
527,70.29
520,71.28
508,72.27
503,73.26
508,74.25
515,75.24
515,76.23
520,77.22
520,78.21
527,79.2
520,80.19
520,81.18
515,82.17
515,83.16
520,84.15
527,85.14
527,86.13
531,87.12
527,88.11
531,89.1
542,90.09
542,91.08
542,92.07
542,93.06
531,94.05
531,95.04
531,96.03
537,97.02
537,98.01
542,99
545,99.99
553,100.98
545,101.97
553,102.96
553,103.95
545,104.94
553,105.93
556,106.92
594,107.91
589,108.9
589,109.89
589,110.88
594,111.87
602,112.86
607,113.85
618,114.84
615,115.83
607,116.82
607,117.81
607,118.8
602,119.79
607,120.78
615,121.77
607,122.76
607,123.75
607,124.74
602,125.73
589,126.72
594,127.71
589,128.7
594,129.69
594,130.68
607,131.67
618,132.66
626,133.65
626,134.64
631,135.63
631,136.62
631,137.61
638,138.6
638,139.59
626,140.58
618,141.57
626,142.56
626,143.55
626,144.54
618,145.53
618,146.52
615,147.51
618,148.5
618,149.49
618,150.48
626,151.47
626,152.46
626,153.45
615,154.44
615,155.43
618,156.42
618,157.41
618,158.4
626,159.39
631,160.38
626,161.37
631,162.36
626,163.35
618,164.34
618,165.33
618,166.32
615,167.31
615,168.3
607,169.29
607,170.28
602,171.27
594,172.26
602,173.25
602,174.24
602,175.23
602,176.22
602,177.21
602,178.2
602,179.19
615,180.18
615,181.17
653,182.16
694,183.15
730,184.14
708,185.13
708,186.12
702,187.11
702,188.1
702,189.09
715,190.08
708,191.07
730,192.06
730,193.05
768,194.04
791,195.03
827,196.02
817,197.01
827,198
817,198.99
817,199.98
827,200.97
855,201.96
882,202.95
868,203.94
882,204.93
868,205.92
868,206.91
887,207.9
918,208.89
897,209.88
882,210.87
855,211.86
840,212.85
846,213.84
791,214.83
776,215.82
768,216.81
768,217.8
785,218.79
791,219.78
730,220.77
730,221.76
715,222.75
702,223.74
694,224.73
686,225.72
686,226.71
686,227.7
686,228.69
708,229.68
761,230.67
868,231.66
897,232.65
907,233.64
907,234.63
868,235.62
846,236.61
817,237.6
804,238.59
776,239.58
776,240.57
785,241.56
804,242.55
855,243.54
918,244.53
940,245.52
992,246.51
1083,247.5
1168,248.49
1242,249.48
1274,250.47
1302,251.46
1288,252.45
1288,253.44
1274,254.43
1274,255.42
1274,256.41
1228,257.4
1168,258.39
1134,259.38
1134,260.37
1113,261.36
1134,262.35
1122,263.34
1122,264.33
1113,265.32
1095,266.31
1065,267.3
1035,268.29
1035,269.28
1017,270.27
1007,271.26
1017,272.25
1017,273.24
1035,274.23
1035,275.22
1017,276.21
1007,277.2
1007,278.19
1035,279.18
1035,280.17
1017,281.16
1017,282.15
992,283.14
983,284.13
949,285.12
927,286.11
918,287.1
918,288.09
897,289.08
907,290.07
907,291.06
907,292.05
897,293.04
907,294.03
897,295.02
918,296.01
897,297
897,297.99
887,298.98
897,299.97
897,300.96
897,301.95
907,302.94
918,303.93
927,304.92
927,305.91
927,306.9
918,307.89
918,308.88
918,309.87
907,310.86
897,311.85
907,312.84
882,313.83
855,314.82
868,315.81
882,316.8
887,317.79
897,318.78
907,319.77
918,320.76
897,321.75
887,322.74
887,323.73
897,324.72
887,325.71
907,326.7
907,327.69
907,328.68
897,329.67
907,330.66
897,331.65
907,332.64
897,333.63
907,334.62
918,335.61
907,336.6
927,337.59
927,338.58
940,339.57
949,340.56
940,341.55
961,342.54
940,343.53
918,344.52
897,345.51
897,346.5
897,347.49
907,348.48
918,349.47
918,350.46
918,351.45
940,352.44
961,353.43
972,354.42
972,355.41
961,356.4
961,357.39
961,358.38
918,359.37
907,360.36
907,361.35
918,362.34
927,363.33
927,364.32
940,365.31
949,366.3
949,367.29
961,368.28
972,369.27
972,370.26
983,371.25
1035,372.24
1071,373.23
1095,374.22
1113,375.21
1113,376.2
1113,377.19
1113,378.18
1113,379.17
1113,380.16
1113,381.15
1113,382.14
1095,383.13
1083,384.12
1095,385.11
1071,386.1
1071,387.09
1017,388.08
1007,389.07
992,390.06
961,391.05
940,392.04
940,393.03
961,394.02
983,395.01
1017,396
1007,396.99
992,397.98
983,398.97
972,399.96
949,400.95
949,401.94
940,402.93
940,403.92
927,404.91
918,405.9
918,406.89
907,407.88
897,408.87
887,409.86
882,410.85
882,411.84
882,412.83
868,413.82
882,414.81
882,415.8
887,416.79
887,417.78
887,418.77
882,419.76
887,420.75
887,421.74
887,422.73
882,423.72
855,424.71
868,425.7
868,426.69
882,427.68
855,428.67
868,429.66
846,430.65
840,431.64
840,432.63
817,433.62
817,434.61
817,435.6
817,436.59
813,437.58
813,438.57
813,439.56
813,440.55
791,441.54
791,442.53
785,443.52
768,444.51
761,445.5
749,446.49
761,447.48
768,448.47
768,449.46
776,450.45
776,451.44
804,452.43
804,453.42
817,454.41
840,455.4
855,456.39
868,457.38
817,458.37
804,459.36
785,460.35
791,461.34
817,462.33
868,463.32
868,464.31
846,465.3
827,466.29
827,467.28
817,468.27
817,469.26
804,470.25
813,471.24
813,472.23
804,473.22
785,474.21
768,475.2
785,476.19
813,477.18
817,478.17
827,479.16
817,480.15
804,481.14
813,482.13
791,483.12
785,484.11
785,485.1
785,486.09
776,487.08
776,488.07
785,489.06
776,490.05
768,491.04
749,492.03
735,493.02
730,494.01
708,495
708,495.99
708,496.98
702,497.97
715,498.96
744,499.95
761,500.94
791,501.93
785,502.92
776,503.91
785,504.9
804,505.89
804,506.88
817,507.87
804,508.86
791,509.85
776,510.84
776,511.83
768,512.82
768,513.81
761,514.8
761,515.79
749,516.78
749,517.77
761,518.76
785,519.75
804,520.74
813,521.73
791,522.72
776,523.71
768,524.7
768,525.69
776,526.68
785,527.67
785,528.66
791,529.65
776,530.64
785,531.63
776,532.62
761,533.61
735,534.6
735,535.59
730,536.58
708,537.57
708,538.56
694,539.55
694,540.54
686,541.53
694,542.52
686,543.51
671,544.5
678,545.49
686,546.48
702,547.47
694,548.46
702,549.45
730,550.44
715,551.43
730,552.42
715,553.41
702,554.4
708,555.39
715,556.38
735,557.37
749,558.36
749,559.35
744,560.34
761,561.33
768,562.32
785,563.31
813,564.3
813,565.29
785,566.28
776,567.27
768,568.26
776,569.25
768,570.24
761,571.23
749,572.22
744,573.21
715,574.2
715,575.19
702,576.18
694,577.17
678,578.16
686,579.15
686,580.14
678,581.13
678,582.12
678,583.11
686,584.1
702,585.09
702,586.08
715,587.07
715,588.06
730,589.05
735,590.04
749,591.03
730,592.02
715,593.01
715,594
708,594.99
715,595.98
708,596.97
708,597.96
708,598.95
702,599.94
694,600.93
694,601.92
686,602.91
678,603.9
678,604.89
671,605.88
671,606.87
653,607.86
650,608.85
650,609.84
666,610.83
678,611.82
694,612.81
686,613.8
694,614.79
694,615.78
686,616.77
678,617.76
694,618.75
694,619.74
702,620.73
702,621.72
694,622.71
694,623.7
694,624.69
694,625.68
678,626.67
694,627.66
686,628.65
694,629.64
686,630.63
686,631.62
686,632.61
694,633.6
744,634.59
768,635.58
749,636.57
749,637.56
730,638.55
708,639.54
686,640.53
686,641.52
694,642.51
702,643.5
694,644.49
702,645.48
702,646.47
702,647.46
702,648.45
694,649.44
694,650.43
686,651.42
686,652.41
686,653.4
702,654.39
715,655.38
715,656.37
708,657.36
694,658.35
686,659.34
708,660.33
730,661.32
730,662.31
715,663.3
744,664.29
735,665.28
715,666.27
702,667.26
678,668.25
702,669.24
715,670.23
715,671.22
735,672.21
744,673.2
768,674.19
749,675.18
735,676.17
715,677.16
761,678.15
768,679.14
730,680.13
708,681.12
702,682.11
708,683.1
702,684.09
702,685.08
702,686.07
702,687.06
708,688.05
715,689.04
730,690.03
730,691.02
715,692.01
694,693
686,693.99
678,694.98
686,695.97
678,696.96
678,697.95
686,698.94
686,699.93
686,700.92
686,701.91
686,702.9
694,703.89
686,704.88
694,705.87
694,706.86
702,707.85
708,708.84
715,709.83
715,710.82
730,711.81
735,712.8
715,713.79
715,714.78
708,715.77
708,716.76
694,717.75
686,718.74
694,719.73
686,720.72
694,721.71
694,722.7
702,723.69
708,724.68
708,725.67
708,726.66
708,727.65
702,728.64
686,729.63
694,730.62
715,731.61
730,732.6
735,733.59
744,734.58
744,735.57
744,736.56
749,737.55
761,738.54
761,739.53
768,740.52
768,741.51
749,742.5
735,743.49
735,744.48
735,745.47
715,746.46
708,747.45
702,748.44
694,749.43
686,750.42
678,751.41
666,752.4
666,753.39
650,754.38
643,755.37
653,756.36
650,757.35
650,758.34
694,759.33
730,760.32
730,761.31
702,762.3
702,763.29
702,764.28
694,765.27
702,766.26
708,767.25
708,768.24
708,769.23
702,770.22
686,771.21
671,772.2
678,773.19
666,774.18
666,775.17
678,776.16
678,777.15
694,778.14
694,779.13
686,780.12
686,781.11
686,782.1
694,783.09
686,784.08
686,785.07
686,786.06
678,787.05
686,788.04
678,789.03
694,790.02
694,791.01
686,792
702,792.99
702,793.98
702,794.97
708,795.96
702,796.95
702,797.94
702,798.93
694,799.92
694,800.91
686,801.9
702,802.89
702,803.88
694,804.87
686,805.86
686,806.85
686,807.84
671,808.83
686,809.82
694,810.81
686,811.8
671,812.79
666,813.78
671,814.77
694,815.76
702,816.75
702,817.74
686,818.73
678,819.72
678,820.71
678,821.7
678,822.69
671,823.68
666,824.67
650,825.66
650,826.65
650,827.64
650,828.63
650,829.62
653,830.61
650,831.6
643,832.59
650,833.58
666,834.57
686,835.56
694,836.55
708,837.54
694,838.53
694,839.52
678,840.51
702,841.5
686,842.49
702,843.48
686,844.47
694,845.46
702,846.45
678,847.44
694,848.43
694,849.42
694,850.41
686,851.4
678,852.39
678,853.38
671,854.37
666,855.36
653,856.35
653,857.34
666,858.33
671,859.32
678,860.31
678,861.3
686,862.29
686,863.28
671,864.27
694,865.26
694,866.25
702,867.24
702,868.23
702,869.22
708,870.21
708,871.2
702,872.19
702,873.18
702,874.17
686,875.16
694,876.15
702,877.14
694,878.13
702,879.12
694,880.11
694,881.1
694,882.09
702,883.08
715,884.07
744,885.06
744,886.05
749,887.04
744,888.03
749,889.02
744,890.01
735,891
735,891.99
730,892.98
715,893.97
735,894.96
730,895.95
730,896.94
715,897.93
715,898.92
702,899.91
678,900.9
678,901.89
708,902.88
761,903.87
768,904.86
768,905.85
768,906.84
768,907.83
761,908.82
768,909.81
776,910.8
785,911.79
804,912.78
827,913.77
817,914.76
817,915.75
840,916.74
813,917.73
827,918.72
827,919.71
827,920.7
840,921.69
827,922.68
827,923.67
827,924.66
840,925.65
840,926.64
840,927.63
846,928.62
846,929.61
846,930.6
846,931.59
827,932.58
846,933.57
827,934.56
840,935.55
846,936.54
846,937.53
846,938.52
855,939.51
882,940.5
855,941.49
868,942.48
882,943.47
882,944.46
882,945.45
882,946.44
868,947.43
868,948.42
887,949.41
887,950.4
897,951.39
897,952.38
887,953.37
907,954.36
897,955.35
897,956.34
897,957.33
897,958.32
907,959.31
907,960.3
907,961.29
927,962.28
918,963.27
918,964.26
907,965.25
897,966.24
907,967.23
907,968.22
918,969.21
918,970.2
927,971.19
918,972.18
882,973.17
882,974.16
887,975.15
887,976.14
887,977.13
897,978.12
897,979.11
897,980.1
897,981.09
897,982.08
907,983.07
907,984.06
907,985.05
907,986.04
907,987.03
897,988.02
897,989.01
897,990
907,990.99
907,991.98
918,992.97
927,993.96
927,994.95
927,995.94
927,996.93
940,997.92
927,998.91
927,999.9
918,1000.89
927,1001.88
927,1002.87
927,1003.86
927,1004.85
940,1005.84
940,1006.83
940,1007.82
949,1008.81
949,1009.8
927,1010.79
940,1011.78
940,1012.77
940,1013.76
940,1014.75
940,1015.74
927,1016.73
907,1017.72
907,1018.71
918,1019.7
918,1020.69
907,1021.68
897,1022.67
882,1023.66
868,1024.65
855,1025.64
868,1026.63
855,1027.62
882,1028.61
882,1029.6
887,1030.59
887,1031.58
887,1032.57
918,1033.56
918,1034.55
918,1035.54
949,1036.53
940,1037.52
961,1038.51
949,1039.5
949,1040.49
940,1041.48
918,1042.47
907,1043.46
897,1044.45
897,1045.44
907,1046.43
897,1047.42
907,1048.41
907,1049.4
897,1050.39
907,1051.38
897,1052.37
907,1053.36
918,1054.35
907,1055.34
907,1056.33
907,1057.32
897,1058.31
907,1059.3
907,1060.29
897,1061.28
907,1062.27
907,1063.26
907,1064.25
907,1065.24
907,1066.23
918,1067.22
918,1068.21
907,1069.2
918,1070.19
918,1071.18
918,1072.17
927,1073.16
918,1074.15
918,1075.14
907,1076.13
918,1077.12
927,1078.11
918,1079.1
918,1080.09
918,1081.08
907,1082.07
927,1083.06
927,1084.05
918,1085.04
907,1086.03
907,1087.02
897,1088.01
907,1089
897,1089.99
897,1090.98
882,1091.97
897,1092.96
907,1093.95
897,1094.94
907,1095.93
918,1096.92
918,1097.91
907,1098.9
887,1099.89
897,1100.88
897,1101.87
907,1102.86
918,1103.85
927,1104.84
897,1105.83
897,1106.82
887,1107.81
907,1108.8
897,1109.79
897,1110.78
882,1111.77
897,1112.76
918,1113.75
918,1114.74
907,1115.73
897,1116.72
918,1117.71
940,1118.7
927,1119.69
927,1120.68
918,1121.67
927,1122.66
927,1123.65
940,1124.64
918,1125.63
927,1126.62
918,1127.61
918,1128.6
907,1129.59
927,1130.58
927,1131.57
918,1132.56
927,1133.55
927,1134.54
918,1135.53
907,1136.52
927,1137.51
907,1138.5
907,1139.49
897,1140.48
907,1141.47
897,1142.46
897,1143.45
907,1144.44
907,1145.43
897,1146.42
897,1147.41
887,1148.4
897,1149.39
887,1150.38
897,1151.37
887,1152.36
887,1153.35
897,1154.34
887,1155.33
897,1156.32
887,1157.31
887,1158.3
887,1159.29
887,1160.28
887,1161.27
907,1162.26
887,1163.25
882,1164.24
882,1165.23
887,1166.22
887,1167.21
897,1168.2
897,1169.19
887,1170.18
887,1171.17
897,1172.16
887,1173.15
887,1174.14
887,1175.13
887,1176.12
887,1177.11
897,1178.1
887,1179.09
887,1180.08
907,1181.07
918,1182.06
907,1183.05
940,1184.04
927,1185.03
940,1186.02
940,1187.01
940,1188
927,1188.99
918,1189.98
940,1190.97
918,1191.96
918,1192.95
907,1193.94
897,1194.93
918,1195.92
940,1196.91
927,1197.9
927,1198.89
927,1199.88
949,1200.87
949,1201.86
940,1202.85
949,1203.84
940,1204.83
949,1205.82
940,1206.81
940,1207.8
940,1208.79
940,1209.78
961,1210.77
961,1211.76
949,1212.75
972,1213.74
983,1214.73
983,1215.72
972,1216.71
